NAME, LIBRARY, VERSION, COMPILER, FLAGS, MODE, INPUT, INPUT-SIZE, FUNCTION, MEDIAN, MAD, RELATIVE, INTENSITY
ethSIFT avx icc fastmath rdtsc MeasureFullNoAlloc, ethSIFT, avx, icc, fastmath, rdtsc, auto-240p, 240, MeasureFullNoAlloc, 28284212.0, 64617.6, 2348115.8, 0.0
ethSIFT avx icc full rdtsc Downscale, ethSIFT, avx, icc, full, rdtsc, auto-240p, 240, Downscale, 0.0, 0.0, 0.0, 0.0
ethSIFT avx icc full rdtsc Convolution, ethSIFT, avx, icc, full, rdtsc, auto-240p, 240, Convolution, 3.7136862, -0.0047602654, 0.00000014844093, 3.372131
ethSIFT avx icc full rdtsc Octaves, ethSIFT, avx, icc, full, rdtsc, auto-240p, 240, Octaves, 90574.0, 293.555, 0.0036203621, 0.0
ethSIFT avx icc full rdtsc GaussianKernelGeneration, ethSIFT, avx, icc, full, rdtsc, auto-240p, 240, GaussianKernelGeneration, 4880.0, 358.789, 0.00019506003, 0.0
ethSIFT avx icc full rdtsc GaussianPyramid, ethSIFT, avx, icc, full, rdtsc, auto-240p, 240, GaussianPyramid, 4.234878, -0.008477211, 0.00000028611822, 4.0669374
ethSIFT avx icc full rdtsc DOGPyramid, ethSIFT, avx, icc, full, rdtsc, auto-240p, 240, DOGPyramid, 1.4000025, -0.0047267675, 0.00000009780919, 3.6348531
ethSIFT avx icc full rdtsc GradientAndRotationPyramids, ethSIFT, avx, icc, full, rdtsc, auto-240p, 240, GradientAndRotationPyramids, 3.9216228, -0.0036857128, 0.0000003002227, 13.672094
ethSIFT avx icc full rdtsc Histogram, ethSIFT, avx, icc, full, rdtsc, auto-240p, 240, Histogram, 0.85405356, -0.0020572543, 0.00000006543806, 2.5614655
ethSIFT avx icc full rdtsc ExtremaRefinement, ethSIFT, avx, icc, full, rdtsc, auto-240p, 240, ExtremaRefinement, 0.49714285, -0.008283228, 0.00000003809238, 1.0807453
ethSIFT avx icc full rdtsc KeypointDetection, ethSIFT, avx, icc, full, rdtsc, auto-240p, 240, KeypointDetection, 0.17282215, -0.0003311336, 0.00000001914152, 1.0536155
ethSIFT avx icc full rdtsc ExtractDescriptor, ethSIFT, avx, icc, full, rdtsc, auto-240p, 240, ExtractDescriptor, 0.7083432, -0.0007380843, 0.060085785, 2.6122131
ethSIFT avx icc full rdtsc MeasureFull, ethSIFT, avx, icc, full, rdtsc, auto-240p, 240, MeasureFull, 2.2327511, -0.0048451424, 0.18939492, 3.9261184
ethSIFT avx icc full rdtsc MeasureFullNoAlloc, ethSIFT, avx, icc, full, rdtsc, auto-240p, 240, MeasureFullNoAlloc, 24995016.0, 68878.6, 2120222.5, 0.0
ethSIFT avx icc notree rdtsc Downscale, ethSIFT, avx, icc, notree, rdtsc, auto-240p, 240, Downscale, 0.0, 0.0, 0.0, 0.0
